Timestamp,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,Bin_28,Bin_29,Bin_30,Bin_31
2025-10-24 15:54:37.057,2,1,1,9,2,1,1,1,1,1,2,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
2025-10-24 15:54:38.079,1,1,1,8,2,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
2025-10-24 15:54:39.101,1,0,0,7,1,1,2,1,1,1,2,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0
2025-10-24 15:54:40.059,1,0,0,8,3,1,2,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1
2025-10-24 15:54:41.081,2,1,0,7,1,1,2,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0
2025-10-24 15:54:42.103,2,2,1,9,1,0,0,1,1,1,0,1,0,1,0,2,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0
2025-10-24 15:54:43.061,2,0,0,9,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0
2025-10-24 15:54:44.083,2,2,2,9,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0
2025-10-24 15:54:45.105,2,1,2,10,1,0,1,0,0,1,1,1,1,0,1,2,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0
2025-10-24 15:54:46.063,2,1,1,10,0,1,1,0,0,1,1,1,1,0,0,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
2025-10-24 15:54:47.085,2,1,1,11,1,2,1,1,1,0,1,1,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,0
2025-10-24 15:54:48.107,2,1,1,9,2,0,1,1,1,1,1,1,1,0,1,2,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1
2025-10-24 15:54:49.065,2,1,1,9,1,0,1,1,1,1,1,0,1,1,1,2,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
2025-10-24 15:54:50.087,2,1,1,9,2,1,1,1,1,1,1,1,1,1,1,0,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1
2025-10-24 15:54:51.108,1,0,1,8,2,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0
2025-10-24 15:54:52.067,2,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
2025-10-24 15:54:53.090,1,1,0,8,2,2,2,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1
2025-10-24 15:54:54.111,1,0,0,8,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1
2025-10-24 15:54:55.069,1,0,0,7,1,1,2,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0
2025-10-24 15:54:56.090,1,0,0,8,1,1,2,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0
2025-10-24 15:54:57.049,1,0,0,7,1,2,2,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0
2025-10-24 15:54:58.070,2,0,0,8,1,1,2,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0
2025-10-24 15:54:59.092,2,0,1,8,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1
2025-10-24 15:55:00.050,2,0,0,8,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1
2025-10-24 15:55:01.071,2,2,2,8,1,0,0,1,1,1,1,1,0,0,0,2,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0
2025-10-24 15:55:02.093,3,1,2,9,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0
2025-10-24 15:55:03.052,2,2,2,9,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0
2025-10-24 15:55:04.074,2,1,1,10,0,1,1,0,0,1,1,1,1,0,0,2,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
2025-10-24 15:55:05.095,2,1,1,10,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1
2025-10-24 15:55:06.053,2,1,2,10,1,0,2,0,1,1,1,0,1,1,1,2,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0
2025-10-24 15:55:07.097,2,1,1,9,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1
2025-10-24 15:55:08.055,2,1,1,9,1,1,1,1,2,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,0
2025-10-24 15:55:09.077,1,0,1,9,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,1
2025-10-24 15:55:10.099,1,1,0,9,2,1,1,1,1,1,1,1,0,1,0,2,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
2025-10-24 15:55:11.057,1,1,1,9,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
2025-10-24 15:55:12.079,2,0,0,8,2,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,2,1,0,1,1,0
